Landingpage,Sitzungen,Neue Nutzer
/ferien/d/stadt/hildesheim,2.284,1.745
/ferien/d/stadt/leverkusen,2.239,1.707
/brueckentage/d/bundesland/thueringen/2022,2.238,1.963
/ferien/d/schule/61118-europaeische-schule-rheinmain,2.228,1.884
/ferien/d/schule/14167-john-f-kennedy-schule,2.212,1.873
/ferien/d/stadt/chemnitz-sachsen,2.207,1.777
/ferien/d/bundesland/schleswig-holstein,2.204,1.848
/ferien/d/stadt/salzgitter,2.202,1.630
/ferien/d/stadt/konstanz,2.196,1.851
/ferien/d/stadt/schwerin-bb,2.172,1.670
/ferien/d/stadt/oberhausen-by-1,2.153,1.692
/ferien/d/schule/49074-ludwig-fresenius-schulen-berufsfachschule-biologischtechn-assisten,2.150,1.827
/ferien/d/schule/18055-hansestadt-rostock,2.142,1.740
/ferien/d/stadt/offenbach,2.139,1.630
/ferien/d/stadt/erfurt,2.125,1.750
/ferien/d/stadt/darmstadt,2.103,1.721
/federal_states/bayern,2.100,1.746
/ferien/d/bundesland/sachsen,2.094,1.716
/ferien/d/stadt/leer-ostfriesland,2.094,1.751
/bottraffic.live,2.012,1.057
/ferien/d/bundesland/berlin/schulbeginn,1.955,1.784
/ferien/d/stadt/wilhelmshaven,1.917,1.458
/ferien/d/stadt/ingolstadt,1.914,1.456
/ferien/d/stadt/cuxhaven,1.902,1.495
/brueckentage/d/bundesland/bremen/2022,1.899,1.594
/federal_states/nordrhein-westfalen,1.881,1.655
/ferien/d/stadt/waiblingen,1.863,1.568
/ferien/d/stadt/rheinfelden,1.858,1.580
/ferien/d/stadt/minden,1.810,1.354
/ferien/d/stadt/celle,1.796,1.413
/ferien/d/stadt/bad-kreuznach,1.793,1.267
/ferien/d/stadt/rust,1.788,1.586
/ferien/d/stadt/aschaffenburg,1.772,1.352
/ferien/d/stadt/neubrandenburg,1.761,1.346
/ferien/d/stadt/reutlingen,1.759,1.502
/ferien/d/stadt/singen,1.759,1.383
/ferien/d/stadt/neuss,1.739,1.423
/ferien/d/stadt/solingen,1.738,1.258
/ferien/d/stadt/neumuenster,1.735,1.333
/ferien/d/stadt/aalen,1.726,1.422
/ferien/d/bundesland/hessen/kategorie/sommer,1.715,1.589
/ferien/d/stadt/waldshut-tiengen,1.681,1.333
/ferien/d/stadt/fulda,1.664,1.377
/ferien/d/stadt/bamberg,1.637,1.356
/ferien/d/stadt/bayreuth,1.630,1.219
/ferien/d/stadt/rom,1.622,1.459
